iteration,total_queries,loss,iter_time_s,total_time_s
340,68341,20.137188,4.76,1688.27
341,68542,20.134378,4.80,1693.64
342,68743,20.130537,4.83,1699.04
343,68944,20.128352,4.86,1704.49
344,69145,20.131881,4.76,1709.81
345,69346,20.114100,4.83,1714.65
346,69547,20.112298,4.82,1720.05
347,69748,20.114681,4.78,1725.40
348,69949,20.110227,4.79,1730.19
349,70150,20.110843,4.72,1735.48
350,70351,20.110023,4.78,1740.25
351,70552,20.103019,4.74,1745.57
352,70753,20.101161,4.78,1750.92
353,70954,20.094659,4.74,1756.23
354,71155,22.621466,4.81,1761.60
355,71356,20.101853,4.81,1766.41
356,71557,20.099833,4.78,1771.20
357,71758,20.106741,4.82,1776.02
358,71959,20.094554,4.76,1780.79
359,72160,20.092121,4.82,1786.18
360,72361,20.088040,4.76,1791.50
361,72562,20.078562,4.83,1796.92
362,72763,20.072751,4.80,1802.29
363,72964,20.072577,4.79,1807.66
364,73165,20.064376,4.76,1812.98
365,73366,20.067214,4.82,1818.39
366,73567,20.070416,4.85,1823.24
367,73768,20.072572,4.87,1828.11
368,73969,20.069707,4.80,1832.91
369,74170,20.065417,4.78,1837.69
370,74371,20.060002,4.68,1842.37
371,74572,20.064332,4.74,1847.69
372,74773,20.067359,4.78,1852.47
373,74974,10.893341,4.77,1857.24
374,75175,10.896699,4.81,1862.63
375,75376,10.886215,4.80,1867.44
376,75577,10.869435,4.78,1872.79
377,75778,10.866405,4.84,1878.22
378,75979,10.866691,4.77,1883.56
379,76180,10.861694,4.77,1888.33
380,76381,10.850909,4.79,1893.68
381,76582,14.963684,4.83,1899.10
382,76783,14.926485,4.74,1903.84
383,76984,14.863658,4.72,1908.57
384,77185,14.770738,4.85,1913.42
385,77386,14.702326,4.82,1918.24
386,77587,70.030465,4.78,1923.02
387,77788,14.612371,4.77,1927.79
388,77989,14.556109,4.83,1932.62
389,78190,14.478382,4.85,1937.47
390,78391,14.416344,4.84,1942.31
391,78592,14.382659,4.73,1947.04
392,78793,14.318304,4.80,1951.85
393,78994,14.263810,4.76,1956.61
394,79195,14.168098,4.83,1961.45
395,79396,13.911070,4.77,1966.22
396,79597,13.762575,4.76,1970.98
397,79798,13.618806,4.85,1975.84
398,79999,13.394450,4.75,1980.59
399,80200,13.195189,4.76,1985.35
400,80401,12.978061,4.70,1990.06
