iteration,total_queries,loss,iter_time_s,total_time_s
373,74974,21.211722,4.84,1800.52
374,75175,21.210403,4.77,1805.29
375,75376,21.199653,4.74,1810.04
376,75577,21.217082,4.86,1814.90
377,75778,21.195931,4.83,1819.73
378,75979,21.208677,4.80,1824.54
379,76180,21.166987,4.73,1829.27
380,76381,21.169123,4.82,1834.09
381,76582,21.182223,4.77,1838.86
382,76783,21.176825,4.74,1843.60
383,76984,21.249839,4.71,1848.31
384,77185,21.221129,4.80,1853.11
385,77386,21.191108,4.78,1857.89
386,77587,21.205678,4.75,1862.64
387,77788,21.218966,4.82,1867.46
388,77989,21.194544,4.72,1872.18
389,78190,21.199518,4.79,1876.98
390,78391,21.210429,4.75,1881.74
391,78592,21.251475,4.79,1886.53
392,78793,21.179201,4.74,1891.27
393,78994,21.179251,4.83,1896.10
394,79195,21.180276,4.84,1900.94
395,79396,21.190483,4.78,1905.73
396,79597,21.152067,4.71,1910.44
397,79798,21.156359,4.75,1915.20
398,79999,21.152070,4.77,1919.97
399,80200,21.155788,4.81,1924.78
400,80401,21.173411,4.78,1929.56
